k,t,Qnum,Qlevel,Qlength,approach,time,size
200,2,169,6,3,f-chip,21.2521,45.8
200,2,169,6,4,f-chip,22.56128,46
200,2,169,6,5,f-chip,21.72746,45.8
200,3,169,6,2,f-chip,3326.242,331
200,3,169,6,3,f-chip,3455.864,329.8
200,3,169,6,4,f-chip,3412.664,329
200,3,169,6,5,f-chip,3400.418,329.2
20,2,80,9,2,f-chip,4.646024,29.4
20,2,80,9,3,f-chip,6.514086,25.8
20,2,80,9,4,f-chip,5.224004,26
20,2,80,9,5,f-chip,5.33549,25
20,3,80,9,2,f-chip,49.9418,150.2
20,3,80,9,3,f-chip,61.17054,130.8
20,3,80,9,4,f-chip,88.72712,127.8
20,3,80,9,5,f-chip,83.07866,127.4
80,2,160,9,2,f-chip,12.86398,39.2
80,2,160,9,3,f-chip,13.00846,38.4
80,2,160,9,4,f-chip,14.31256,38.4
80,2,160,9,5,f-chip,13.21472,38.2
80,3,160,9,2,f-chip,337.2774,257.4
80,3,160,9,3,f-chip,586.7832,247.4
80,3,160,9,4,f-chip,576.75,246.4
80,3,160,9,5,f-chip,590.4732,246.4
140,2,212,9,2,f-chip,21.26154,44.2
140,2,212,9,3,f-chip,23.75426,43.4
140,2,212,9,4,f-chip,24.30486,43.2
140,2,212,9,5,f-chip,23.97962,43.6
140,3,212,9,2,f-chip,1374.72,305
140,3,212,9,3,f-chip,1751.02,301
140,3,212,9,4,f-chip,1668.306,299.2
140,3,212,9,5,f-chip,1664.588,299.4
200,2,254,9,2,f-chip,34.45696,46.2
200,2,254,9,3,f-chip,28.04132,46
200,2,254,9,4,f-chip,33.23204,46.2
200,2,254,9,5,f-chip,35.5979,46
200,3,254,9,2,f-chip,3065.166,334.2
200,3,254,9,3,f-chip,4380.24,330.4
200,3,254,9,4,f-chip,3580.86,328.8
200,3,254,9,5,f-chip,3579.262,329
20,2,0,0,2,jenny,0,31
80,2,0,0,2,jenny,0.066,46.2
140,2,0,0,2,jenny,0.232,52
200,2,0,0,2,jenny,0.482,55.6
20,3,0,0,2,jenny,0.186,143.2
80,3,0,0,2,jenny,74.0700012,249.4
140,3,0,0,2,jenny,*,*
200,3,0,0,2,jenny,*,*
20,2,0,0,3,jenny,0,31
80,2,0,0,3,jenny,0.066,46.2
140,2,0,0,3,jenny,0.234,52
200,2,0,0,3,jenny,0.484,55.6
20,3,0,0,3,jenny,0.186,143.2
80,3,0,0,3,jenny,74.2919992,249.4
140,3,0,0,3,jenny,*,*
200,3,0,0,3,jenny,*,*
20,2,0,0,4,jenny,0,31
80,2,0,0,4,jenny,0.064,46.2
140,2,0,0,4,jenny,0.234,52
200,2,0,0,4,jenny,0.482,55.6
20,3,0,0,4,jenny,0.186,143.2
80,3,0,0,4,jenny,74.2240012,249.4
140,3,0,0,4,jenny,*,*
200,3,0,0,4,jenny,*,*
20,2,0,0,5,jenny,0,31
80,2,0,0,5,jenny,0.066,46.2
140,2,0,0,5,jenny,0.232,52
200,2,0,0,5,jenny,1.14,55.6
20,3,0,0,5,jenny,0.186,143.2
80,3,0,0,5,jenny,74.2280006,249.4
140,3,0,0,5,jenny,*,*
200,3,0,0,5,jenny,*,*
20,2,26,3,2,jenny,0,30.8
80,2,53,3,2,jenny,0.096,44.4
140,2,70,3,2,jenny,0.342,51.6
200,2,84,3,2,jenny,0.678,54.6
20,3,26,3,2,jenny,0.162,146
80,3,53,3,2,jenny,23.7699996,253.2
140,3,70,3,2,jenny,968.9420106,301.4
200,3,84,3,2,jenny,43178.57188,330.8
20,2,26,3,3,jenny,0,32.4
80,2,53,3,3,jenny,0.094,45.4
140,2,70,3,3,jenny,0.332,52.6
200,2,84,3,3,jenny,0.672,54.2
20,3,26,3,3,jenny,0.196,143
80,3,53,3,3,jenny,34.712,250.4
140,3,70,3,3,jenny,8858.897803,299.8
200,3,84,3,3,jenny,*,*
20,2,26,3,4,jenny,0,31.2
80,2,53,3,4,jenny,0.094,46
140,2,70,3,4,jenny,0.322,51.6
200,2,84,3,4,jenny,0.656,55.4
20,3,26,3,4,jenny,0.204,142.6
80,3,53,3,4,jenny,109.4359994,249.4
140,3,70,3,4,jenny,19842.77222,299.4
200,3,84,3,4,jenny,*,*
20,2,26,3,5,jenny,0,31
80,2,53,3,5,jenny,0.094,46
140,2,70,3,5,jenny,0.32,51.8
200,2,84,3,5,jenny,1.55,55.2
20,3,26,3,5,jenny,0.2,143.4
80,3,53,3,5,jenny,64.1719992,250
140,3,70,3,5,jenny,*,*
200,3,84,3,5,jenny,*,*
20,2,53,6,2,jenny,0,32.2
80,2,107,6,2,jenny,0.108,44.4
140,2,141,6,2,jenny,0.41,50
200,2,169,6,2,jenny,0.862,53.4
20,3,53,6,2,jenny,0.152,156.2
80,3,107,6,2,jenny,19.4979998,257.2
140,3,141,6,2,jenny,196.2779968,304.8
200,3,169,6,2,jenny,1914.949951,333.6
20,2,53,6,3,jenny,0,31
80,2,107,6,3,jenny,0.12,45.2
140,2,141,6,3,jenny,0.416,51.6
200,2,169,6,3,jenny,0.848,55
20,3,53,6,3,jenny,0.198,144.6
80,3,107,6,3,jenny,28.862,251.4
140,3,141,6,3,jenny,834.3499876,300
200,3,169,6,3,jenny,*,*
20,2,53,6,4,jenny,0,31.2
80,2,107,6,4,jenny,0.116,45.4
140,2,141,6,4,jenny,0.406,51.4
200,2,169,6,4,jenny,0.83,54.6
20,3,53,6,4,jenny,0.218,144.2
80,3,107,6,4,jenny,40.8600006,250
140,3,141,6,4,jenny,5712.971924,300.4
200,3,169,6,4,jenny,*,*
20,2,53,6,5,jenny,0.002,31.6
80,2,107,6,5,jenny,0.12,46
140,2,141,6,5,jenny,0.404,51.2
200,2,169,6,5,jenny,1.9,55.6
20,3,53,6,5,jenny,0.224,143.8
80,3,107,6,5,jenny,72.763999,249.8
140,3,141,6,5,jenny,15732.98623,300.2
200,3,169,6,5,jenny,*,*
20,2,80,9,2,jenny,0,34.8
80,2,160,9,2,jenny,0.124,45.4
140,2,212,9,2,jenny,0.476,49.6
200,2,254,9,2,jenny,1.028,52.8
20,3,80,9,2,jenny,0.152,175
80,3,160,9,2,jenny,18.346,269.4
140,3,212,9,2,jenny,160.75,310.4
200,3,254,9,2,jenny,803.8880004,336.4
20,2,80,9,3,jenny,0.006,31.4
80,2,160,9,3,jenny,0.14,44.6
140,2,212,9,3,jenny,0.494,51.2
200,2,254,9,3,jenny,1.05,54.2
20,3,80,9,3,jenny,0.206,147.2
80,3,160,9,3,jenny,25.206,252.2
140,3,212,9,3,jenny,466.4160154,301.6
200,3,254,9,3,jenny,15036.73369,330.8
20,2,80,9,4,jenny,0.004,31.2
80,2,160,9,4,jenny,0.146,46.2
140,2,212,9,4,jenny,0.492,51.4
200,2,254,9,4,jenny,1.016,55.6
20,3,80,9,4,jenny,0.238,143.4
80,3,160,9,4,jenny,38.9379996,250.6
140,3,212,9,4,jenny,6060.763928,300.8
200,3,254,9,4,jenny,*,*
20,2,80,9,5,jenny,0.01,31.6
80,2,160,9,5,jenny,0.146,45.8
140,2,212,9,5,jenny,0.484,51.6
200,2,254,9,5,jenny,2.37,55.8
20,3,80,9,5,jenny,0.242,142.8
80,3,160,9,5,jenny,54.0400002,249.6
140,3,212,9,5,jenny,52333.81108,300.4
200,3,254,9,5,jenny,*,*
20,2,0,0,2,pict,0.008977604,29.4
80,2,0,0,2,pict,0.049040794,45.8
140,2,0,0,2,pict,0.160477448,52.2
200,2,0,0,2,pict,0.354515219,55.6
20,3,0,0,2,pict,0.125722837,146
80,3,0,0,2,pict,18.46817327,275
140,3,0,0,2,pict,128.4954161,331.6
200,3,0,0,2,pict,528.8505939,364.2
20,2,0,0,3,pict,0.025583172,29.4
80,2,0,0,3,pict,0.123847246,45.8
140,2,0,0,3,pict,0.385179806,52.2
200,2,0,0,3,pict,0.915353394,55.6
20,3,0,0,3,pict,0.296478987,146
80,3,0,0,3,pict,43.65716681,275
140,3,0,0,3,pict,287.1451903,331.6
200,3,0,0,3,pict,1042.396694,364.2
20,2,0,0,4,pict,0.079782772,29.4
80,2,0,0,4,pict,0.268877363,45.8
140,2,0,0,4,pict,0.661525774,52.2
200,2,0,0,4,pict,1.368149757,55.6
20,3,0,0,4,pict,0.620955324,146
80,3,0,0,4,pict,81.15743256,275
140,3,0,0,4,pict,496.4589214,331.6
200,3,0,0,4,pict,1766.044021,364.2
20,2,0,0,5,pict,0.074174738,29.4
80,2,0,0,5,pict,0.275868988,45.8
140,2,0,0,5,pict,0.789993286,52.2
200,2,0,0,5,pict,1.427757978,55.6
20,3,0,0,5,pict,0.542369604,146
80,3,0,0,5,pict,74.38032541,275
140,3,0,0,5,pict,558.4253078,331.6
200,3,0,0,5,pict,1934.850045,364.2
20,2,26,3,2,pict,0.009839582,32.4
80,2,53,3,2,pict,0.05294652,47.8
140,2,70,3,2,pict,0.169316912,54.6
200,2,84,3,2,pict,0.380193853,58.6
20,3,26,3,2,pict,0.138515759,162.4
80,3,53,3,2,pict,20.7728466,292
140,3,70,3,2,pict,142.5682509,347
200,3,84,3,2,pict,535.4043406,375.2
20,2,26,3,3,pict,0.020095205,30.4
80,2,53,3,3,pict,0.142181683,46.2
140,2,70,3,3,pict,0.550830412,53.2
200,2,84,3,3,pict,0.96920414,56
20,3,26,3,3,pict,0.308227587,152
80,3,53,3,3,pict,43.86284809,277.6
140,3,70,3,3,pict,287.8768978,334.6
200,3,84,3,3,pict,1009.382731,366.6
20,2,26,3,4,pict,0.090024137,30.4
80,2,53,3,4,pict,0.344920635,46
140,2,70,3,4,pict,0.76648221,52.4
200,2,84,3,4,pict,1.847583389,55.6
20,3,26,3,4,pict,0.653046989,146.4
80,3,53,3,4,pict,79.15072117,275.6
140,3,70,3,4,pict,526.9341849,333.2
200,3,84,3,4,pict,1972.350437,365.2
20,2,26,3,5,pict,0.124507046,30.2
80,2,53,3,5,pict,0.309500217,46.4
140,2,70,3,5,pict,0.898094749,52.6
200,2,84,3,5,pict,1.912319374,55.2
20,3,26,3,5,pict,0.686634398,146
80,3,53,3,5,pict,83.74391904,275
140,3,70,3,5,pict,517.9337616,332
200,3,84,3,5,pict,1724.472132,364.4
20,2,53,6,2,pict,0.011024618,36.6
80,2,107,6,2,pict,0.060360241,53.8
140,2,141,6,2,pict,0.189878416,60.4
200,2,169,6,2,pict,0.443528366,68
20,3,53,6,2,pict,0.146434736,181.8
80,3,107,6,2,pict,20.87741566,329.4
140,3,141,6,2,pict,137.4039698,376.6
200,3,169,6,2,pict,601.9698623,410.8
20,2,53,6,3,pict,0.024204397,31.6
80,2,107,6,3,pict,0.155459833,47.6
140,2,141,6,3,pict,0.664116955,52.4
200,2,169,6,3,pict,1.04586935,57
20,3,53,6,3,pict,0.328714228,162.4
80,3,107,6,3,pict,42.21590452,282.8
140,3,141,6,3,pict,291.3170318,338
200,3,169,6,3,pict,1088.959691,372.2
20,2,53,6,4,pict,0.103506994,30.6
80,2,107,6,4,pict,0.400221825,46.2
140,2,141,6,4,pict,0.916690969,52.6
200,2,169,6,4,pict,2.091177607,56
20,3,53,6,4,pict,0.6738904,148
80,3,107,6,4,pict,73.44960351,276.2
140,3,141,6,4,pict,532.2742266,332.8
200,3,169,6,4,pict,1918.553698,366.4
20,2,53,6,5,pict,0.160543823,30.4
80,2,107,6,5,pict,0.603087044,46
140,2,141,6,5,pict,1.309138298,52.2
200,2,169,6,5,pict,1.978124809,55.4
20,3,53,6,5,pict,0.998407984,146.8
80,3,107,6,5,pict,80.22232041,275
140,3,141,6,5,pict,623.2161,332.2
200,3,169,6,5,pict,1723.843032,364.6
20,2,80,9,2,pict,0.012082624,43.2
80,2,160,9,2,pict,0.074330568,67.8
140,2,212,9,2,pict,0.220185661,70
200,2,254,9,2,pict,0.506233835,77.2
20,3,80,9,2,pict,0.177836609,221.2
80,3,160,9,2,pict,26.32137299,393.2
140,3,212,9,2,pict,246.6691974,428.2
200,3,254,9,2,pict,601.5152888,443.8
20,2,80,9,3,pict,0.042068386,34
80,2,160,9,3,pict,0.175384378,47.2
140,2,212,9,3,pict,0.532927418,52.6
200,2,254,9,3,pict,1.092340994,57
20,3,80,9,3,pict,0.351434374,174.8
80,3,160,9,3,pict,43.52631898,293.8
140,3,212,9,3,pict,390.5726274,341.6
200,3,254,9,3,pict,1147.761673,375.8
20,2,80,9,4,pict,0.121622086,30.6
80,2,160,9,4,pict,0.419609451,45.6
140,2,212,9,4,pict,0.928863049,53.2
200,2,254,9,4,pict,1.915774298,56.4
20,3,80,9,4,pict,0.807543802,149.4
80,3,160,9,4,pict,76.32640519,276.8
140,3,212,9,4,pict,574.2742778,334.2
200,3,254,9,4,pict,2023.238626,366.8
20,2,80,9,5,pict,0.208560467,30
80,2,160,9,5,pict,0.728611803,45.6
140,2,212,9,5,pict,1.608151913,52.2
200,2,254,9,5,pict,2.552170992,56.2
20,3,80,9,5,pict,0.933464146,146.6
80,3,160,9,5,pict,86.06642127,275.2
140,3,212,9,5,pict,645.0413562,333.2
200,3,254,9,5,pict,1667.782466,365.8
20,2,0,0,2,q-chip,1.8646634,24.2
20,2,0,0,3,q-chip,1.6382498,24.2
20,2,0,0,4,q-chip,1.3982598,24.8
20,2,0,0,5,q-chip,2.281784,24.6
20,3,0,0,2,q-chip,52.94892,123.4
20,3,0,0,3,q-chip,54.88698,122.6
20,3,0,0,4,q-chip,57.139,123.6
20,3,0,0,5,q-chip,77.27972,123.6
80,2,0,0,2,q-chip,5.226914,36.4
80,2,0,0,3,q-chip,5.259452,36.8
80,2,0,0,4,q-chip,5.349878,37.2
80,2,0,0,5,q-chip,7.912606,36.8
80,3,0,0,2,q-chip,1155.1882,237.8
80,3,0,0,3,q-chip,1159.358,238.2
80,3,0,0,4,q-chip,1160.386,238.2
80,3,0,0,5,q-chip,1152.71,237.8
140,2,0,0,2,q-chip,12.59384,41.6
140,2,0,0,3,q-chip,11.5971,42.2
140,2,0,0,4,q-chip,12.4238,41.4
140,2,0,0,5,q-chip,15.82838,41.8
140,3,0,0,2,q-chip,5331.046,291
140,3,0,0,3,q-chip,5389.108,291
140,3,0,0,4,q-chip,5327.408,291.2
140,3,0,0,5,q-chip,5396.54,290.4
200,2,0,0,2,q-chip,17.95008,44.4
200,2,0,0,3,q-chip,19.13132,44.6
200,2,0,0,4,q-chip,17.38484,44.4
200,2,0,0,5,q-chip,23.25654,44.2
200,3,0,0,2,q-chip,14046.96,320.6
200,3,0,0,3,q-chip,14057.9,320.6
200,3,0,0,4,q-chip,13676.38,321
200,3,0,0,5,q-chip,14179.98,320.6
20,2,26,3,2,q-chip,2.964256,24.4
20,2,26,3,3,q-chip,2.738262,24.8
20,2,26,3,4,q-chip,2.349066,24.4
20,2,26,3,5,q-chip,2.151824,24.6
20,3,26,3,2,q-chip,53.51482,123
20,3,26,3,3,q-chip,66.1149,123.6
20,3,26,3,4,q-chip,70.53698,123.4
20,3,26,3,5,q-chip,62.71014,122.6
80,2,53,3,2,q-chip,9.427682,36.6
80,2,53,3,3,q-chip,7.646728,36.4
80,2,53,3,4,q-chip,6.953386,36.6
80,2,53,3,5,q-chip,8.382884,36.8
80,3,53,3,2,q-chip,999.4406,240
80,3,53,3,3,q-chip,1218.666,238.2
80,3,53,3,4,q-chip,1224.892,238.4
80,3,53,3,5,q-chip,1151.6702,238.2
140,2,70,3,2,q-chip,16.73784,41.8
140,2,70,3,3,q-chip,17.7827,41.6
140,2,70,3,4,q-chip,17.19094,41.6
140,2,70,3,5,q-chip,16.57118,42
140,3,70,3,2,q-chip,4622.054,292.6
140,3,70,3,3,q-chip,5114.882,290.8
140,3,70,3,4,q-chip,5267.51,291.2
140,3,70,3,5,q-chip,5433.396,290.8
200,2,84,3,2,q-chip,29.59022,44.6
200,2,84,3,3,q-chip,27.07098,44.8
200,2,84,3,4,q-chip,24.91344,44.6
200,2,84,3,5,q-chip,25.87668,44.4
200,3,84,3,2,q-chip,13643.04,321.4
200,3,84,3,3,q-chip,14323.44,321.2
200,3,84,3,4,q-chip,14242.2,320.8
200,3,84,3,5,q-chip,14231.78,321.2
20,2,53,6,2,q-chip,3.093608,24.8
20,2,53,6,3,q-chip,2.455342,24.6
20,2,53,6,4,q-chip,2.933726,24.6
20,2,53,6,5,q-chip,2.723392,24.6
20,3,53,6,2,q-chip,61.27996,127.2
20,3,53,6,3,q-chip,62.46178,124.6
20,3,53,6,4,q-chip,70.2537,123
20,3,53,6,5,q-chip,67.13744,123.4
80,2,107,6,2,q-chip,10.341572,36.8
80,2,107,6,3,q-chip,10.078062,37
80,2,107,6,4,q-chip,9.949256,36.4
80,2,107,6,5,q-chip,9.43368,36.4
80,3,107,6,2,q-chip,1108.5656,241.6
80,3,107,6,3,q-chip,1286.638,239.4
80,3,107,6,4,q-chip,1269.3528,238.4
80,3,107,6,5,q-chip,1329.196,238.2
140,2,141,6,2,q-chip,24.61532,42
140,2,141,6,3,q-chip,23.7046,41.8
140,2,141,6,4,q-chip,23.43882,42
140,2,141,6,5,q-chip,21.6691,42
140,3,141,6,2,q-chip,4833.38,293.6
140,3,141,6,3,q-chip,5492.616,291.6
140,3,141,6,4,q-chip,5616.202,291
140,3,141,6,5,q-chip,5574.79,290.6
200,2,169,6,2,q-chip,36.49042,44.6
200,2,169,6,3,q-chip,39.79522,44.8
200,2,169,6,4,q-chip,43.8071,44.6
200,2,169,6,5,q-chip,34.7921,44.2
200,3,169,6,2,q-chip,12620.62,323.2
200,3,169,6,3,q-chip,14673.16,321.2
200,3,169,6,4,q-chip,14671.14,321.6
200,3,169,6,5,q-chip,14473.58,320.8
20,2,80,9,2,q-chip,3.089634,27.6
20,2,80,9,3,q-chip,3.911694,24.6
20,2,80,9,4,q-chip,3.488496,24.4
20,2,80,9,5,q-chip,5.626342,24.6
20,3,80,9,2,q-chip,71.99998,140.4
20,3,80,9,3,q-chip,74.77536,124.4
20,3,80,9,4,q-chip,65.48992,122.2
20,3,80,9,5,q-chip,94.66916,123
80,2,160,9,2,q-chip,14.86708,37.8
80,2,160,9,3,q-chip,15.44534,36.6
80,2,160,9,4,q-chip,13.93338,36.6
80,2,160,9,5,q-chip,17.47266,36.8
80,3,160,9,2,q-chip,1003.8868,249.8
80,3,160,9,3,q-chip,1348.8996,239.2
80,3,160,9,4,q-chip,1353.702,238.2
80,3,160,9,5,q-chip,1348.016,237.8
140,2,212,9,2,q-chip,31.42138,42.2
140,2,212,9,3,q-chip,32.67352,42
140,2,212,9,4,q-chip,36.83074,41.6
140,2,212,9,5,q-chip,36.96382,41.6
140,3,212,9,2,q-chip,4553.08,297.4
140,3,212,9,3,q-chip,5734.358,291.4
140,3,212,9,4,q-chip,5624.732,290.8
140,3,212,9,5,q-chip,5683.526,290.8
200,2,254,9,2,q-chip,55.72492,45
200,2,254,9,3,q-chip,57.7078,44.6
200,2,254,9,4,q-chip,57.9183,44.4
200,2,254,9,5,q-chip,59.52384,44.6
200,3,254,9,2,q-chip,12395.54,325.6
200,3,254,9,3,q-chip,15386.28,321.6
200,3,254,9,4,q-chip,15090.98,321.2
200,3,254,9,5,q-chip,14931.62,321
20,2,0,0,2,sq-chip,42.0573,23.6
140,2,0,0,3,sq-chip,469.3578,39.6
140,2,0,0,2,sq-chip,395.9996,39.4
200,2,0,0,2,sq-chip,608.597,42.2
140,2,0,0,4,sq-chip,376.1164,39.4
80,2,0,0,5,sq-chip,244.42,35
20,2,0,0,3,sq-chip,50.73094,23.6
200,2,0,0,5,sq-chip,710.9744,42.2
200,2,0,0,3,sq-chip,727.5862,42.2
20,2,0,0,4,sq-chip,38.67228,23.6
80,2,0,0,2,sq-chip,204.0456,35
140,2,0,0,5,sq-chip,460.0486,39.6
80,2,0,0,4,sq-chip,200.674,35
200,2,0,0,4,sq-chip,600.5996,42
20,2,0,0,5,sq-chip,52.29066,23.4
80,2,0,0,3,sq-chip,251.5322,35
20,3,0,0,5,sq-chip,666.4322,118.4
20,3,0,0,2,sq-chip,651.2312,118.8
20,3,0,0,4,sq-chip,546.7174,117.8
20,3,0,0,3,sq-chip,839.0862,119.4
80,3,0,0,2,sq-chip,*,*
140,3,0,0,2,sq-chip,*,*
200,3,0,0,2,sq-chip,*,*
80,3,0,0,3,sq-chip,*,*
140,3,0,0,3,sq-chip,*,*
200,3,0,0,3,sq-chip,*,*
80,3,0,0,4,sq-chip,*,*
140,3,0,0,4,sq-chip,*,*
200,3,0,0,4,sq-chip,*,*
80,3,0,0,5,sq-chip,*,*
140,3,0,0,5,sq-chip,*,*
200,3,0,0,5,sq-chip,*,*
20,2,26,3,3,sq-chip,73.04772,23.4
140,2,70,3,2,sq-chip,704.973,39.6
80,2,53,3,4,sq-chip,328.0662,35
200,2,84,3,4,sq-chip,1079.708,42.2
140,2,70,3,4,sq-chip,655.6006,39.6
20,2,26,3,5,sq-chip,76.35998,23.6
20,2,26,3,4,sq-chip,50.91128,23.8
80,2,53,3,5,sq-chip,345.4372,34.8
20,2,26,3,2,sq-chip,61.86052,23.2
140,2,70,3,3,sq-chip,745.2936,39.2
200,2,84,3,5,sq-chip,1160.22,42
200,2,84,3,3,sq-chip,1240.374,42.2
200,2,84,3,2,sq-chip,1107.834,42.2
140,2,70,3,5,sq-chip,673.5824,39.4
80,2,53,3,2,sq-chip,351.2796,35.2
80,2,53,3,3,sq-chip,382.4702,35
20,3,26,3,4,sq-chip,771.1036,118.6
20,3,26,3,5,sq-chip,742.2448,118.6
20,3,26,3,2,sq-chip,916.8152,118
20,3,26,3,3,sq-chip,1043.58,118.6
80,3,53,3,2,sq-chip,*,*
140,3,70,3,2,sq-chip,*,*
200,3,84,3,2,sq-chip,*,*
80,3,53,3,3,sq-chip,*,*
140,3,70,3,3,sq-chip,*,*
200,3,84,3,3,sq-chip,*,*
80,3,53,3,4,sq-chip,*,*
140,3,70,3,4,sq-chip,*,*
200,3,84,3,4,sq-chip,*,*
80,3,53,3,5,sq-chip,*,*
140,3,70,3,5,sq-chip,*,*
200,3,84,3,5,sq-chip,*,*
20,2,53,6,4,sq-chip,75.02714,23.6
20,2,53,6,5,sq-chip,83.89204,23.6
140,2,141,6,5,sq-chip,1258.634,39.6
80,2,107,6,2,sq-chip,605.721,34.8
140,2,141,6,4,sq-chip,1283.64,39.4
80,2,107,6,3,sq-chip,675.7536,35
200,2,169,6,4,sq-chip,2382.714,42
80,2,107,6,5,sq-chip,608.3326,35
200,2,169,6,3,sq-chip,2666.682,42.4
80,2,107,6,4,sq-chip,580.1,34.8
140,2,141,6,3,sq-chip,1511.192,39.6
140,2,141,6,2,sq-chip,1407.266,39.8
200,2,169,6,5,sq-chip,2261.084,42.2
20,2,53,6,2,sq-chip,81.31198,24
200,2,169,6,2,sq-chip,2509.874,42.2
20,2,53,6,3,sq-chip,86.98348,23.6
20,3,53,6,5,sq-chip,971.3944,118
20,3,53,6,3,sq-chip,879.6972,119.2
20,3,53,6,2,sq-chip,1147.8738,121.8
20,3,53,6,4,sq-chip,978.3562,118.4
80,3,107,6,2,sq-chip,*,*
140,3,141,6,2,sq-chip,*,*
200,3,169,6,2,sq-chip,*,*
80,3,107,6,3,sq-chip,*,*
140,3,141,6,3,sq-chip,*,*
200,3,169,6,3,sq-chip,*,*
80,3,107,6,4,sq-chip,*,*
140,3,141,6,4,sq-chip,*,*
200,3,169,6,4,sq-chip,*,*
80,3,107,6,5,sq-chip,*,*
140,3,141,6,5,sq-chip,*,*
200,3,169,6,5,sq-chip,*,*
20,2,80,9,4,sq-chip,102.91476,23.6
200,2,254,9,5,sq-chip,3955.416,42.2
140,2,212,9,4,sq-chip,2356.47,39.4
80,2,160,9,3,sq-chip,1256.194,35
80,2,160,9,4,sq-chip,996.1338,35
20,2,80,9,2,sq-chip,120.024,25.2
200,2,254,9,2,sq-chip,5391.146,42.4
140,2,212,9,3,sq-chip,2788.842,39.4
200,2,254,9,4,sq-chip,4132.972,41.8
80,2,160,9,5,sq-chip,947.8116,34.8
20,2,80,9,3,sq-chip,148.7136,23.8
140,2,212,9,5,sq-chip,2231.57,39.8
20,2,80,9,5,sq-chip,120.84264,23.8
200,2,254,9,3,sq-chip,5075.35,42
80,2,160,9,2,sq-chip,993.7314,35.6
140,2,212,9,2,sq-chip,2653.698,40
20,3,80,9,4,sq-chip,1138.1112,118.4
20,3,80,9,5,sq-chip,1405.779,118.6
20,3,80,9,2,sq-chip,1758.496,131.6
20,3,80,9,3,sq-chip,1748.162,120
80,3,160,9,2,sq-chip,*,*
140,3,212,9,2,sq-chip,*,*
200,3,254,9,2,sq-chip,*,*
80,3,160,9,3,sq-chip,*,*
140,3,212,9,3,sq-chip,*,*
200,3,254,9,3,sq-chip,*,*
80,3,160,9,4,sq-chip,*,*
140,3,212,9,4,sq-chip,*,*
200,3,254,9,4,sq-chip,*,*
80,3,160,9,5,sq-chip,*,*
140,3,212,9,5,sq-chip,*,*
200,3,254,9,5,sq-chip,*,*
20,2,0,0,2,TCA,0,24
80,2,0,0,2,TCA,0.05,52
140,2,0,0,2,TCA,0.178,59.4
200,2,0,0,2,TCA,0.384,63
20,3,0,0,2,TCA,0.042,157.4
80,3,0,0,2,TCA,5.336,310
140,3,0,0,2,TCA,39.048,374.8
200,3,0,0,2,TCA,121.292,413.6
20,2,0,0,3,TCA,0,24
80,2,0,0,3,TCA,0.048,52
140,2,0,0,3,TCA,0.178,59.4
200,2,0,0,3,TCA,0.382,63
20,3,0,0,3,TCA,0.042,157.4
80,3,0,0,3,TCA,5.514,310
140,3,0,0,3,TCA,42.484,374.8
200,3,0,0,3,TCA,126.002,413.6
20,2,0,0,4,TCA,0,24
80,2,0,0,4,TCA,0.05,52
140,2,0,0,4,TCA,0.174,59.4
200,2,0,0,4,TCA,0.382,63
20,3,0,0,4,TCA,0.042,157.4
80,3,0,0,4,TCA,5.582,310
140,3,0,0,4,TCA,41.442,374.8
200,3,0,0,4,TCA,127.942,413.6
20,2,0,0,5,TCA,0,24
80,2,0,0,5,TCA,0.05,52
140,2,0,0,5,TCA,0.174,59.4
200,2,0,0,5,TCA,0.38,63
20,3,0,0,5,TCA,0.042,157.4
80,3,0,0,5,TCA,5.542,310
140,3,0,0,5,TCA,40.62,374.8
200,3,0,0,5,TCA,124.308,413.6
20,2,26,3,2,TCA,0.01,34
80,2,53,3,2,TCA,0.546,53.2
140,2,70,3,2,TCA,2.676,63.2
200,2,84,3,2,TCA,7.05,66.6
20,3,26,3,2,TCA,0.18,173.2
80,3,53,3,2,TCA,33.404,333.4
140,3,70,3,2,TCA,321.652,394.2
200,3,84,3,2,TCA,1271.192,435.8
20,2,26,3,3,TCA,0.012,33.2
80,2,53,3,3,TCA,0.554,52.4
140,2,70,3,3,TCA,2.776,60
200,2,84,3,3,TCA,7.288,64.6
20,3,26,3,3,TCA,0.208,162.8
80,3,53,3,3,TCA,37.204,313
140,3,70,3,3,TCA,338.494,380.8
200,3,84,3,3,TCA,1313.788,416.4
20,2,26,3,4,TCA,0.01,32.2
80,2,53,3,4,TCA,0.59,50.6
140,2,70,3,4,TCA,2.874,59.6
200,2,84,3,4,TCA,7.39,64
20,3,26,3,4,TCA,0.206,159
80,3,53,3,4,TCA,40.618,310.4
140,3,70,3,4,TCA,366.686,377.6
200,3,84,3,4,TCA,1413.604,413.6
20,2,26,3,5,TCA,0.01,31.8
80,2,53,3,5,TCA,0.566,52.2
140,2,70,3,5,TCA,2.832,60
200,2,84,3,5,TCA,7.334,63.2
20,3,26,3,5,TCA,0.2,158.6
80,3,53,3,5,TCA,40.138,309
140,3,70,3,5,TCA,379.906,375
200,3,84,3,5,TCA,1473.138,413.8
20,2,53,6,2,TCA,0.01,39.4
80,2,107,6,2,TCA,0.576,59
140,2,141,6,2,TCA,2.782,67
200,2,169,6,2,TCA,7.344,70.8
20,3,53,6,2,TCA,0.216,192.4
